Rnk,Rider,Age,Team,GC,GC-Time,Time,year,stage
1,Kelderman Wilco,21,Rabobank Cycling Team,8,+3:26,26:44:12 26:44:12,2012,7
2,van Garderen Tejay,23,BMC Racing Team,14,+4:49,1:23 1:23,2012,7
3,Silin Egor,24,Astana Pro Team,20,+9:17,5:51 5:51,2012,7
4,Geniez Alexandre,24,Argos - Shimano,27,+14:04,10:38 10:38,2012,7
5,Gallopin Tony,24,RadioShack - Nissan,32,+16:34,13:08 13:08,2012,7
6,Nerz Dominik,22,Liquigas - Cannondale,35,+17:06,13:40 13:40,2012,7
7,Gautier Cyril,24,Team Europcar,36,+17:22,13:56 13:56,2012,7
8,Quintana Nairo,22,Movistar Team,38,+17:34,14:08 14:08,2012,7
9,Boasson Hagen Edvald,25,Sky Procycling,51,+24:08,20:42 20:42,2012,7
10,Ignatenko Petr,24,Team Katusha,54,+25:42,22:16 22:16,2012,7
11,Malacarne Davide,24,Team Europcar,55,+25:49,22:23 22:23,2012,7
12,Bagot Yoann,24,Cofidis Le Credit en Ligne,56,+26:21,22:55 22:55,2012,7
13,Sarmiento Jose Cayetano,25,Liquigas - Cannondale,61,+27:46,24:20 24:20,2012,7
14,Vichot Arthur,23,FDJ - BigMat,70,+32:21,28:55 28:55,2012,7
15,Edet Nicolas,24,Cofidis Le Credit en Ligne,79,+35:01,31:35 31:35,2012,7
16,Landa Mikel,22,Euskaltel - Euskadi,83,+36:46,33:20 33:20,2012,7
17,Teklehaimanot Daniel,23,Orica GreenEDGE,92,+41:46,38:20 38:20,2012,7
18,Taaram\xe4e Rein,25,Cofidis Le Credit en Ligne,96,+44:25,40:59 40:59,2012,7
19,R\xe9za K\xe9vin,24,Team Europcar,100,+45:27,42:01 42:01,2012,7
20,Roux Anthony,25,FDJ - BigMat,101,+45:48,42:22 42:22,2012,7
21,Degenkolb John,23,Argos - Shimano,115,+52:26,49:00 49:00,2012,7
22,Ratto Daniele,22,Liquigas - Cannondale,118,+53:25,49:59 49:59,2012,7
23,Kreder Michel,24,Team Garmin - Barracuda,121,+55:05,51:39 51:39,2012,7
24,Dockx Gert,23,Lotto Belisol Team,127,+57:41,54:15 54:15,2012,7
25,Meyer Travis,23,Orica GreenEDGE,135,+1:02:50,59:24 59:24,2012,7
26,Matthews Michael,21,Rabobank Cycling Team,138,+1:06:49,1:03:23 1:03:23,2012,7
27,Lindeman Bert-Jan,22,Vacansoleil - DCM,139,+1:09:29,1:06:03 1:06:03,2012,7
28,Cimolai Davide,22,Lampre - ISD,140,+1:10:12,1:06:46 1:06:46,2012,7
29,Van der Sande Tosh,21,Lotto Belisol Team,145,+1:17:29,1:14:03 1:14:03,2012,7
30,Bilbao Pello,22,Euskaltel - Euskadi,146,+1:20:13,1:16:47 1:16:47,2012,7
31,Howard Leigh,22,Orica GreenEDGE,149,+1:25:34,1:22:08 1:22:08,2012,7
