Rnk,BIB,Team,GC,GC-Time,Time,year,stage
1,,CSF Group - Navigare,,+ - 89:56:49,268:52:44 268:52:44,2008,21
2,,Astana,,+ - 89:56:49,43:48 43:48,2008,21
3,,Liquigas,,+ - 89:56:49,1:00:42 1:00:42,2008,21
4,,Team LPR Brakes,,+ - 89:56:49,1:06:45 1:06:45,2008,21
5,,Silence - Lotto,,+ - 89:56:49,1:38:13 1:38:13,2008,21
6,,Serramenti PVC Diquigiovanni-Androni Giocattoli,,+ - 89:56:49,1:53:33 1:53:33,2008,21
7,,CSC ProTeam,,+ - 89:56:49,1:57:53 1:57:53,2008,21
8,,Quickstep - Innergetic,,+ - 89:56:49,2:05:32 2:05:32,2008,21
9,,Caisse d'Epargne,,+ - 89:56:49,2:14:59 2:14:59,2008,21
10,,Rabobank ProTeam,,+ - 89:56:49,2:22:25 2:22:25,2008,21
11,,Lampre,,+ - 89:56:49,2:23:03 2:23:03,2008,21
12,,Tinkoff Credit Systems,,+ - 89:56:49,3:11:38 3:11:38,2008,21
13,,Scott - American Beef,,+ - 89:56:49,3:22:35 3:22:35,2008,21
14,,AG2R La Mondiale,,+ - 89:56:49,3:39:09 3:39:09,2008,21
15,,Fran\xe7aise des Jeux,,+ - 89:56:49,3:59:15 3:59:15,2008,21
16,,Barloworld,,+ - 89:56:49,4:09:36 4:09:36,2008,21
17,,Team Columbia,,+ - 89:56:49,4:36:13 4:36:13,2008,21
18,,Team Garmin - Chipotle,,+ - 89:56:49,6:23:54 6:23:54,2008,21
19,,Euskaltel - Euskadi,,+ - 89:56:49,6:33:26 6:33:26,2008,21
20,,Milram,,+ - 89:56:49,8:38:42 8:38:42,2008,21
21,,Cofidis,,+ - 89:56:49,9:32:55 9:32:55,2008,21
