Rnk,BIB,Rider,Age,Team,Pnt,year,stage
1,155,Garate Juan Manuel,30,Quickstep - Innergetic,64,2006,20
2,191,Basso Ivan,28,CSC ProTeam,56,2006,20
3,44,Baliani Fortunato,31,Ceramica Panaria - Navigare,52,2006,20
4,177,Piepoli Leonardo,34,Saunier Duval - Prodir,32,2006,20
5,143,Gutierrez Jose Enrique,31,Phonak Hearing Systems,27,2006,20
6,92,Casar Sandy,27,Fran\xe7aise des Jeux,23,2006,20
7,119,Javier Vila Francisco,30,Lampre-Fondital,22,2006,20
8,171,Simoni Gilberto,34,Saunier Duval - Prodir,20,2006,20
9,112,Bruseghin Marzio,31,Lampre-Fondital,16,2006,20
10,182,Serpa Jose Rodolfo,27,Selle Italia - Serramenti Diquigiovanni,15,2006,20
11,109,Schumacher Stefan,24,Gerolsteiner,13,2006,20
12,111,Cunego Damiano,24,Lampre-Fondital,12,2006,20
13,196,Voigt Jens,34,CSC ProTeam,11,2006,20
14,87,Lopez David,25,Euskaltel - Euskadi,11,2006,20
15,11,Calzati Sylvain,26,AG2R Pr\xe9voyance,9,2006,20
16,118,Valjavec Tadej,29,Lampre-Fondital,8,2006,20
17,49,Laverde Luis Felipe,26,Ceramica Panaria - Navigare,8,2006,20
18,35,Guti\xe9rrez Jos\xe9 Iv\xe1n,27,Caisse d'Epargne - Illes Balears,7,2006,20
19,41,Sella Emanuele,25,Ceramica Panaria - Navigare,7,2006,20
20,54,Moinard Ama\xebl,24,Cofidis,5,2006,20
21,139,Wegelius Charles,28,Liquigas,5,2006,20
22,137,Pellizotti Franco,28,Liquigas,4,2006,20
23,122,Caruso Giampaolo,25,,4,2006,20
24,117,Tiralongo Paolo,28,Lampre-Fondital,4,2006,20
25,36,Horrach Joan,32,Caisse d'Epargne - Illes Balears,4,2006,20
26,1,Savoldelli Paolo,33,Discovery Channel,3,2006,20
27,48,Rubiano Miguel Angel,21,Ceramica Panaria - Navigare,3,2006,20
28,27,Labbe Arnaud,29,Bouygues Telecom,3,2006,20
29,156,Garrido Jos\xe9 Antonio,30,Quickstep - Innergetic,3,2006,20
30,42,Mazzanti Luca,32,Ceramica Panaria - Navigare,2,2006,20
31,84,Flores Iker,29,Euskaltel - Euskadi,2,2006,20
32,47,Perez Cuapio Julio Alberto,28,Ceramica Panaria - Navigare,2,2006,20
33,32,Efimkin Vladimir,24,Caisse d'Epargne - Illes Balears,2,2006,20
34,149,Zampieri Steve,28,Phonak Hearing Systems,2,2006,20
35,158,van de Walle Jurgen,29,Quickstep - Innergetic,2,2006,20
36,175,Mori Manuele,25,Saunier Duval - Prodir,2,2006,20
37,85,Irizar Markel,26,Euskaltel - Euskadi,2,2006,20
38,94,Delage Micka\xebl,20,Fran\xe7aise des Jeux,2,2006,20
39,146,Pe\xf1a Victor Hugo,31,Phonak Hearing Systems,1,2006,20
40,131,Di Luca Danilo,30,Liquigas,1,2006,20
41,166,Niermann Grischa,30,Rabobank ProTeam,1,2006,20
42,178,Pinotti Marco,30,Saunier Duval - Prodir,1,2006,20
43,187,Illiano Raffaele,29,Selle Italia - Serramenti Diquigiovanni,1,2006,20
44,173,Lobato Ruben,27,Saunier Duval - Prodir,1,2006,20
45,81,Albizuri Benat,25,Euskaltel - Euskadi,1,2006,20
