Rnk,Rider,Age,Team,Pnt,year,stage
1,Bennati Daniele,25,Lampre-Fondital,71,2006,9
2,Vicioso \xc1ngel,29,Astana - W\xfcrth Team,51,2006,9
3,Gil Fernandez Koldo,28,,49,2006,9
4,Jaksche Jorg,29,Astana - W\xfcrth Team,40,2006,9
5,Zabel Erik,35,Milram,39,2006,9
6,Ullrich Jan,32,T-Mobile Team,38,2006,9
7,Herrero Llorente David,26,Euskaltel - Euskadi,36,2006,9
8,Gerdemann Linus,23,T-Mobile Team,35,2006,9
9,Lequatre Geoffroy,24,Cofidis,30,2006,9
10,Davis Allan,25,Astana - W\xfcrth Team,27,2006,9
11,Usov Alexandre,28,AG2R Pr\xe9voyance,24,2006,9
12,Evans Cadel,29,Davitamon - Lotto,22,2006,9
13,Hinault S\xe9bastien,32,Cr\xe9dit Agricole,20,2006,9
14,Schleck Fr\xe4nk,26,CSC ProTeam,18,2006,9
15,Contador Alberto,23,Astana - W\xfcrth Team,15,2006,9
16,Brajkovi\u010d Janez,22,Discovery Channel,15,2006,9
17,Khalilov Mihaylo,30,Team LPR Brakes,14,2006,9
18,Markov Alexei,27,Caisse d'Epargne - Illes Balears,14,2006,9
19,Kirchen Kim,27,T-Mobile Team,12,2006,9
20,G\xf3mez Marchante Jose Angel,26,Saunier Duval - Prodir,12,2006,9
21,van Goolen Jurgen,25,Discovery Channel,12,2006,9
22,Elmiger Martin,27,Phonak Hearing Systems,12,2006,9
23,Botcharov Alexandre,31,Cr\xe9dit Agricole,9,2006,9
24,Moos Alexandre,33,Phonak Hearing Systems,9,2006,9
25,Albasini Michael,25,Liquigas,9,2006,9
26,Gerrans Simon,26,AG2R Pr\xe9voyance,8,2006,9
27,Schr\xf6der Bjorn,25,Milram,8,2006,9
28,Zberg Markus,31,Gerolsteiner,8,2006,9
29,Vande Velde Christian,30,CSC ProTeam,7,2006,9
30,Zberg Beat,35,Gerolsteiner,7,2006,9
31,Caruso Giampaolo,25,Astana - W\xfcrth Team,6,2006,9
32,Karpets Vladimir,25,Caisse d'Epargne - Illes Balears,6,2006,9
33,Steegmans Gert,25,Davitamon - Lotto,6,2006,9
34,Eisel Bernhard,25,Fran\xe7aise des Jeux,6,2006,9
35,De La Fuente David,25,Saunier Duval - Prodir,5,2006,9
36,Perez Ruben,24,Euskaltel - Euskadi,5,2006,9
37,Beltran Manuel,35,Discovery Channel,4,2006,9
38,Ca\xf1ada David,31,Saunier Duval - Prodir,3,2006,9
39,Rast Gregory,26,Phonak Hearing Systems,3,2006,9
40,Coyot Arnaud,24,Cofidis,3,2006,9
41,Efimkin Vladimir,24,Caisse d'Epargne - Illes Balears,2,2006,9
42,Bileka Volodymyr,27,Discovery Channel,2,2006,9
43,Megias Javier,22,Saunier Duval - Prodir,2,2006,9
44,Garzelli Stefano,32,Liquigas,1,2006,9
45,Sprick Matthieu,24,Bouygues Telecom,1,2006,9
46,Kroon Karsten,30,CSC ProTeam,1,2006,9
47,Cancellara Fabian,25,CSC ProTeam,1,2006,9
48,Ballan Alessandro,26,Lampre-Fondital,1,2006,9
